Gender,IsSenior,Married,Dependents,ClientMonths,PhoneService,InternetService,OnlineSecurity,TechSupport,StreamingTV,ContractType,PaymentMethod,MonthlyCharges,TotalCharges,Churn
female,0,no,no,1,yes,no,no internet service,no internet service,no internet service,month-to-month,bank transfer (automatic),19.9,19.9,no
male,0,no,no,38,yes,dsl,yes,yes,yes,one year,mailed check,70.6,2708.2,no
male,0,no,no,11,yes,fiber optic,no,no,no,month-to-month,electronic check,70.2,760.05,no
male,0,no,no,1,yes,dsl,no,yes,no,month-to-month,electronic check,49.3,49.3,no
male,0,yes,no,56,yes,fiber optic,no,yes,yes,one year,electronic check,107.25,6033.3,no
male,0,yes,no,3,yes,no,no internet service,no internet service,no internet service,month-to-month,mailed check,23.6,89.05,no
male,0,yes,yes,7,yes,dsl,yes,no,yes,month-to-month,credit card (automatic),69.7,516.15,no
male,0,yes,yes,59,yes,fiber optic,no,no,yes,two year,credit card (automatic),99.5,5861.75,no
male,0,no,no,7,yes,dsl,no,yes,yes,month-to-month,bank transfer (automatic),64.3,445.95,no
male,0,yes,yes,71,yes,dsl,yes,yes,no,two year,credit card (automatic),70.85,4973.4,no
male,0,yes,yes,15,yes,fiber optic,yes,yes,yes,one year,electronic check,101.9,1667.25,no
male,0,yes,no,71,yes,dsl,yes,yes,yes,two year,credit card (automatic),73.5,5357.75,no
female,0,no,no,35,yes,fiber optic,no,no,yes,month-to-month,electronic check,100.25,3527.6,yes
female,0,no,no,11,yes,dsl,no,yes,no,one year,credit card (automatic),40.4,422.6,no
female,0,yes,yes,60,yes,no,no internet service,no internet service,no internet service,two year,credit card (automatic),19.25,1103.25,no
male,1,no,no,47,yes,dsl,no,yes,no,two year,bank transfer (automatic),59.6,2754.0,no
female,0,no,no,11,yes,dsl,no,yes,no,one year,credit card (automatic),64.9,697.25,no
male,0,yes,no,56,yes,fiber optic,no,no,yes,one year,credit card (automatic),100.3,5614.45,yes
female,1,yes,no,28,yes,fiber optic,no,yes,yes,month-to-month,electronic check,110.85,3204.4,no
male,0,yes,no,61,yes,dsl,yes,yes,yes,two year,mailed check,81.05,4747.65,no
male,0,yes,yes,31,yes,fiber optic,yes,no,yes,one year,bank transfer (automatic),98.05,3082.1,no
male,0,no,no,9,yes,fiber optic,no,no,no,month-to-month,electronic check,70.5,597.9,no
male,1,yes,no,35,yes,fiber optic,yes,no,no,month-to-month,electronic check,94.55,3365.4,no
male,0,no,no,2,yes,no,no internet service,no internet service,no internet service,month-to-month,mailed check,19.65,38.8,no
female,0,yes,yes,12,yes,no,no internet service,no internet service,no internet service,month-to-month,mailed check,19.0,233.55,yes
female,0,no,no,1,yes,fiber optic,yes,no,no,month-to-month,mailed check,75.3,75.3,yes
female,1,no,no,4,yes,fiber optic,no,no,yes,month-to-month,electronic check,89.2,346.2,yes
female,0,yes,yes,1,yes,no,no internet service,no internet service,no internet service,month-to-month,mailed check,19.0,19.0,no
female,0,no,no,3,yes,no,no internet service,no internet service,no internet service,month-to-month,mailed check,20.0,61.7,no
female,1,no,no,1,yes,fiber optic,no,no,yes,month-to-month,electronic check,85.7,85.7,yes
male,0,no,no,52,yes,dsl,yes,no,yes,two year,credit card (automatic),63.25,3342.45,no
male,0,yes,yes,5,yes,no,no internet service,no internet service,no internet service,one year,mailed check,20.1,85.1,no
male,0,yes,no,72,yes,fiber optic,yes,no,no,two year,electronic check,99.15,7422.1,no
male,0,yes,yes,71,yes,dsl,yes,yes,yes,two year,electronic check,90.4,6668.05,no
male,0,yes,no,72,yes,fiber optic,yes,yes,yes,two year,credit card (automatic),111.9,8071.05,no
male,0,yes,yes,46,yes,no,no internet service,no internet service,no internet service,one year,electronic check,24.9,1174.8,no
male,0,yes,yes,63,yes,dsl,yes,no,yes,two year,credit card (automatic),83.5,5435.0,no
male,0,no,no,30,yes,fiber optic,yes,no,no,month-to-month,credit card (automatic),84.3,2438.6,no
male,0,no,no,1,yes,dsl,no,no,no,month-to-month,mailed check,45.6,45.6,no
female,0,no,no,12,yes,dsl,yes,yes,no,month-to-month,mailed check,61.65,713.75,yes
male,0,no,no,16,yes,dsl,yes,yes,yes,two year,mailed check,54.85,916.15,no
male,0,no,no,4,yes,dsl,no,yes,no,month-to-month,mailed check,65.55,237.2,no
male,0,yes,no,51,yes,fiber optic,no,no,no,one year,credit card (automatic),90.35,4614.55,no
male,0,yes,no,65,yes,no,no internet service,no internet service,no internet service,two year,credit card (automatic),20.4,1414.45,no
male,0,no,no,16,yes,fiber optic,no,yes,no,month-to-month,credit card (automatic),74.55,1170.5,no
male,0,no,no,2,yes,no,no internet service,no internet service,no internet service,one year,mailed check,19.95,47.7,no
female,0,yes,yes,66,yes,fiber optic,no,no,no,one year,bank transfer (automatic),74.25,4859.25,no
male,0,no,no,46,yes,fiber optic,no,yes,yes,two year,electronic check,108.65,4903.2,no
female,0,no,no,32,yes,fiber optic,yes,yes,yes,one year,bank transfer (automatic),109.55,3608.0,no
male,0,yes,no,72,yes,dsl,yes,yes,yes,two year,credit card (automatic),86.65,6094.25,no
male,0,yes,yes,38,yes,dsl,yes,yes,yes,two year,credit card (automatic),81.0,3084.9,no
male,0,no,yes,51,yes,dsl,no,yes,no,one year,credit card (automatic),47.85,2356.75,no
male,0,yes,yes,72,yes,fiber optic,yes,yes,yes,two year,bank transfer (automatic),114.55,8306.05,no
female,1,yes,no,65,yes,fiber optic,yes,no,yes,month-to-month,bank transfer (automatic),105.25,6786.4,yes
male,0,yes,yes,9,yes,dsl,no,no,no,month-to-month,electronic check,29.95,248.95,yes
female,0,yes,yes,9,yes,dsl,yes,yes,no,month-to-month,mailed check,65.0,663.05,yes
male,0,no,yes,66,yes,no,no internet service,no internet service,no internet service,two year,mailed check,20.55,1357.1,no
female,1,no,no,44,yes,fiber optic,yes,no,yes,one year,credit card (automatic),109.8,4860.35,no
male,0,no,no,50,yes,dsl,no,yes,no,two year,bank transfer (automatic),69.5,3418.2,no
female,0,no,no,15,yes,dsl,no,no,no,month-to-month,mailed check,48.85,631.4,no
male,0,no,no,8,yes,dsl,no,no,no,month-to-month,credit card (automatic),71.45,186.3,no
female,1,no,no,66,yes,fiber optic,no,yes,yes,one year,credit card (automatic),71.45,6976.75,no
female,0,no,no,57,yes,fiber optic,yes,yes,no,month-to-month,bank transfer (automatic),71.45,4884.85,no
female,0,no,no,7,yes,fiber optic,no,no,no,month-to-month,bank transfer (automatic),71.45,522.95,no
male,1,yes,yes,10,yes,dsl,no,no,no,month-to-month,bank transfer (automatic),71.45,362.6,no
female,0,no,no,62,yes,fiber optic,yes,no,no,one year,electronic check,71.45,5755.8,no
male,0,yes,yes,40,yes,fiber optic,no,no,yes,one year,electronic check,71.45,3355.65,no
female,0,no,no,20,yes,no,no internet service,no internet service,no internet service,two year,mailed check,71.45,406.95,no
female,0,no,no,7,yes,no,no internet service,no internet service,no internet service,month-to-month,bank transfer (automatic),71.45,137.6,yes
female,0,yes,no,25,yes,fiber optic,no,yes,yes,month-to-month,electronic check,71.45,2395.7,no
male,0,yes,no,23,yes,fiber optic,no,no,no,month-to-month,electronic check,71.45,1968.1,no
female,1,yes,no,66,yes,fiber optic,no,no,yes,one year,credit card (automatic),71.45,6819.45,no
female,1,no,no,72,yes,fiber optic,no,yes,yes,two year,electronic check,71.45,7943.45,no
male,1,yes,no,49,yes,fiber optic,no,no,no,month-to-month,credit card (automatic),71.45,4547.25,yes
male,1,yes,yes,43,yes,fiber optic,no,yes,yes,month-to-month,bank transfer (automatic),71.45,4687.9,yes
female,0,yes,no,46,yes,dsl,yes,no,no,month-to-month,bank transfer (automatic),71.45,2473.95,no
male,0,yes,yes,72,yes,dsl,yes,yes,yes,two year,credit card (automatic),71.45,6562.9,no
male,0,no,no,10,yes,no,no internet service,no internet service,no internet service,one year,mailed check,71.45,176.3,no
female,0,no,no,40,yes,dsl,yes,yes,yes,one year,bank transfer (automatic),71.45,2236.2,no
female,0,yes,yes,65,yes,fiber optic,no,no,yes,month-to-month,electronic check,71.45,6985.65,yes
male,0,no,no,31,yes,fiber optic,no,yes,yes,two year,bank transfer (automatic),99.45,3109.9,no
female,0,yes,no,68,yes,dsl,yes,yes,no,two year,credit card (automatic),70.9,4911.35,no
male,1,yes,yes,56,yes,fiber optic,yes,no,yes,one year,bank transfer (automatic),104.55,5794.65,yes
male,0,yes,no,10,yes,fiber optic,no,no,no,month-to-month,electronic check,85.25,855.3,yes
male,0,yes,yes,68,yes,no,no internet service,no internet service,no internet service,two year,bank transfer (automatic),25.4,1620.2,no
female,0,yes,yes,43,yes,dsl,no,no,yes,month-to-month,electronic check,56.15,2499.3,yes
male,0,no,no,1,yes,fiber optic,no,no,yes,month-to-month,electronic check,89.55,89.55,yes
female,1,no,no,49,yes,fiber optic,no,no,no,one year,bank transfer (automatic),89.85,4287.2,no
female,0,yes,yes,15,yes,no,no internet service,no internet service,no internet service,month-to-month,electronic check,25.25,394.85,no
male,1,yes,no,20,yes,fiber optic,no,no,yes,month-to-month,electronic check,94.55,1899.65,yes
male,0,no,no,1,yes,dsl,no,no,no,month-to-month,mailed check,45.7,45.7,yes
male,0,yes,yes,50,yes,dsl,no,yes,yes,one year,electronic check,69.65,3442.15,no
female,1,no,no,2,yes,fiber optic,no,no,no,month-to-month,electronic check,89.5,161.5,yes
male,1,no,no,24,yes,fiber optic,no,no,no,month-to-month,credit card (automatic),70.0,1732.6,no
female,0,no,no,3,yes,fiber optic,no,no,no,month-to-month,bank transfer (automatic),69.55,222.3,yes
female,0,no,no,1,yes,fiber optic,no,no,no,month-to-month,mailed check,74.6,74.6,yes
male,0,yes,yes,35,yes,no,no internet service,no internet service,no internet service,two year,mailed check,20.1,655.3,no
female,0,no,no,17,yes,no,no internet service,no internet service,no internet service,month-to-month,mailed check,24.8,475.25,no
female,1,no,no,8,yes,no,no internet service,no internet service,no internet service,month-to-month,electronic check,19.65,164.3,yes
male,0,no,no,10,yes,fiber optic,no,yes,yes,month-to-month,credit card (automatic),95.1,865.1,no
male,0,yes,yes,68,yes,dsl,yes,yes,yes,two year,credit card (automatic),88.85,6132.7,no
male,0,yes,no,45,yes,dsl,yes,no,yes,one year,bank transfer (automatic),78.8,3597.5,no
male,0,yes,yes,2,yes,no,no internet service,no internet service,no internet service,one year,mailed check,19.85,35.9,yes
male,0,yes,no,37,yes,no,no internet service,no internet service,no internet service,month-to-month,bank transfer (automatic),20.35,697.65,no
female,0,no,no,4,yes,dsl,no,no,no,month-to-month,mailed check,24.25,96.05,yes
female,0,no,no,10,yes,dsl,no,no,no,month-to-month,mailed check,45.25,428.7,no
male,0,no,no,1,yes,no,no internet service,no internet service,no internet service,month-to-month,mailed check,20.05,20.05,no
male,0,yes,yes,65,yes,dsl,yes,no,no,two year,mailed check,69.55,4459.15,no
female,0,yes,yes,57,yes,no,no internet service,no internet service,no internet service,two year,bank transfer (automatic),19.5,1167.6,no
female,0,no,no,3,yes,fiber optic,no,no,no,month-to-month,mailed check,74.75,238.1,no
female,0,no,no,2,yes,fiber optic,no,no,no,month-to-month,electronic check,69.65,145.15,yes
male,0,no,no,49,yes,dsl,no,no,no,month-to-month,bank transfer (automatic),30.2,1453.1,no
female,0,no,no,4,yes,dsl,no,no,no,month-to-month,mailed check,45.65,191.05,yes
female,0,yes,no,70,yes,dsl,no,yes,yes,two year,bank transfer (automatic),57.8,4039.3,no
female,0,yes,yes,53,yes,no,no internet service,no internet service,no internet service,one year,bank transfer (automatic),19.85,1039.45,no
male,0,yes,yes,53,yes,no,no internet service,no internet service,no internet service,two year,credit card (automatic),25.55,1336.1,no
female,0,no,no,1,yes,fiber optic,no,no,no,month-to-month,mailed check,75.05,75.05,yes
male,0,no,no,22,yes,no,no internet service,no internet service,no internet service,month-to-month,credit card (automatic),24.85,493.4,no
male,1,no,no,52,yes,dsl,no,no,yes,month-to-month,electronic check,49.15,2550.9,yes
male,1,no,no,65,yes,fiber optic,yes,yes,yes,two year,electronic check,110.35,7246.15,no
female,0,no,no,48,yes,no,no internet service,no internet service,no internet service,one year,bank transfer (automatic),24.55,1203.95,no
female,0,no,no,2,yes,dsl,no,no,no,month-to-month,electronic check,34.7,62.25,yes
male,0,no,no,3,yes,fiber optic,no,no,yes,month-to-month,mailed check,107.95,313.6,no
male,0,yes,no,45,yes,fiber optic,no,no,no,month-to-month,bank transfer (automatic),81.4,3775.85,no
male,0,yes,yes,1,yes,fiber optic,no,no,no,month-to-month,electronic check,80.0,80.0,yes
female,0,yes,yes,61,yes,dsl,no,yes,yes,two year,bank transfer (automatic),71.45,4616.05,no
male,0,no,no,3,yes,dsl,yes,yes,yes,month-to-month,credit card (automatic),71.45,195.65,no
female,1,no,no,40,yes,fiber optic,no,yes,yes,one year,credit card (automatic),71.45,4188.4,no
female,0,no,no,1,yes,fiber optic,no,no,no,month-to-month,mailed check,71.45,71.1,no
female,0,no,no,1,yes,dsl,no,yes,no,month-to-month,electronic check,71.45,49.9,no
male,0,no,no,51,yes,no,no internet service,no internet service,no internet service,one year,bank transfer (automatic),71.45,1266.4,no
male,1,no,no,2,yes,dsl,yes,no,no,month-to-month,electronic check,71.45,91.1,yes
male,0,no,no,52,yes,dsl,no,no,no,one year,mailed check,71.45,1623.4,no
male,0,no,no,51,yes,fiber optic,no,no,no,month-to-month,bank transfer (automatic),83.4,4149.45,no
male,0,no,no,1,yes,no,no internet service,no internet service,no internet service,month-to-month,mailed check,20.45,20.45,no
male,0,yes,yes,31,yes,dsl,yes,yes,no,one year,bank transfer (automatic),75.25,2344.5,no
male,0,no,yes,47,yes,no,no internet service,no internet service,no internet service,one year,credit card (automatic),20.55,1013.05,no
female,0,no,no,3,yes,fiber optic,no,no,no,month-to-month,credit card (automatic),75.1,270.7,yes
female,1,no,no,22,yes,no,no internet service,no internet service,no internet service,one year,mailed check,20.05,417.0,no
female,0,yes,no,1,yes,no,no internet service,no internet service,no internet service,month-to-month,mailed check,20.65,20.65,no
male,0,yes,no,72,yes,dsl,no,yes,yes,two year,bank transfer (automatic),85.15,6316.2,no
male,0,yes,yes,3,yes,dsl,no,no,no,month-to-month,electronic check,50.15,168.15,yes
male,1,yes,yes,47,yes,fiber optic,no,no,yes,one year,bank transfer (automatic),84.95,4018.05,no
male,0,yes,yes,72,yes,dsl,yes,yes,no,two year,credit card (automatic),66.5,4811.6,no
male,0,yes,yes,66,yes,dsl,no,no,yes,two year,bank transfer (automatic),63.3,4189.7,no
male,0,no,no,35,yes,fiber optic,no,no,yes,month-to-month,electronic check,83.15,2848.45,no
male,0,no,no,29,yes,fiber optic,no,no,no,month-to-month,electronic check,84.9,2516.2,no
female,0,no,no,2,yes,no,no internet service,no internet service,no internet service,month-to-month,mailed check,20.55,33.6,no
male,0,no,no,4,yes,dsl,no,no,no,month-to-month,mailed check,49.25,208.45,no
female,0,no,no,25,yes,fiber optic,yes,no,no,month-to-month,bank transfer (automatic),79.85,2015.35,yes
female,0,no,no,65,yes,dsl,yes,yes,no,two year,mailed check,59.6,3739.8,no
male,1,no,no,27,yes,fiber optic,no,yes,yes,one year,bank transfer (automatic),104.65,2964.0,no
male,0,yes,no,29,yes,fiber optic,no,no,no,month-to-month,credit card (automatic),75.3,2263.4,no
male,0,yes,yes,29,yes,dsl,no,no,yes,month-to-month,credit card (automatic),80.1,2211.8,no
male,0,no,no,1,yes,no,no internet service,no internet service,no internet service,month-to-month,mailed check,19.55,19.55,yes
female,0,yes,no,20,yes,fiber optic,no,yes,no,month-to-month,mailed check,81.0,1683.7,no
female,0,no,no,58,yes,no,no internet service,no internet service,no internet service,two year,credit card (automatic),24.7,1519.0,no
female,0,no,yes,14,yes,fiber optic,yes,yes,no,month-to-month,mailed check,86.0,1164.05,no
male,0,yes,no,72,yes,no,no internet service,no internet service,no internet service,two year,mailed check,25.4,1710.9,no
male,0,no,no,46,yes,fiber optic,yes,no,yes,month-to-month,credit card (automatic),89.15,4245.55,no
female,0,yes,no,71,yes,dsl,no,yes,yes,two year,bank transfer (automatic),58.25,4145.9,no
male,0,no,no,32,yes,fiber optic,no,no,no,month-to-month,bank transfer (automatic),85.65,2664.3,no
female,0,no,no,26,yes,dsl,no,no,yes,month-to-month,credit card (automatic),50.35,1277.5,no
male,1,yes,no,68,yes,fiber optic,no,no,no,month-to-month,credit card (automatic),80.35,5589.3,no
male,0,yes,yes,2,yes,no,no internet service,no internet service,no internet service,one year,mailed check,20.2,34.75,no
male,0,yes,yes,61,yes,no,no internet service,no internet service,no internet service,two year,credit card (automatic),20.55,1305.95,no
female,0,yes,yes,4,yes,fiber optic,no,no,no,month-to-month,electronic check,85.95,381.3,yes
male,0,no,no,3,yes,dsl,no,no,no,month-to-month,electronic check,45.35,141.5,yes
male,1,yes,no,33,yes,fiber optic,no,no,yes,month-to-month,electronic check,94.5,3105.55,yes
male,1,yes,no,9,yes,no,no internet service,no internet service,no internet service,month-to-month,mailed check,21.25,204.55,no
female,0,no,no,22,yes,no,no internet service,no internet service,no internet service,two year,mailed check,26.25,605.9,no
female,0,yes,yes,5,yes,fiber optic,no,no,yes,month-to-month,electronic check,80.85,356.1,no
female,1,no,no,30,yes,fiber optic,yes,no,no,month-to-month,credit card (automatic),91.7,2758.15,yes
male,0,no,no,65,yes,dsl,no,yes,no,two year,credit card (automatic),74.2,4805.65,no
female,0,no,no,45,yes,fiber optic,no,yes,no,month-to-month,electronic check,87.25,3941.7,yes
male,0,no,no,5,yes,no,no internet service,no internet service,no internet service,month-to-month,mailed check,20.35,92.75,no
male,0,yes,yes,25,yes,fiber optic,no,no,no,month-to-month,electronic check,75.5,1901.05,no
female,0,yes,yes,72,yes,fiber optic,yes,no,no,two year,bank transfer (automatic),79.05,5730.7,no
female,0,yes,no,27,yes,fiber optic,no,no,no,month-to-month,bank transfer (automatic),90.15,2423.4,no
male,0,yes,yes,32,yes,dsl,no,no,yes,month-to-month,credit card (automatic),50.6,1653.45,no
female,0,no,no,30,yes,fiber optic,no,yes,yes,one year,credit card (automatic),110.45,3327.05,no
male,0,yes,no,70,yes,fiber optic,yes,yes,no,two year,credit card (automatic),101.0,7085.5,no
male,1,no,no,42,yes,fiber optic,no,no,no,month-to-month,bank transfer (automatic),79.35,3344.1,no
female,1,yes,no,72,yes,dsl,yes,yes,yes,two year,bank transfer (automatic),89.85,6697.35,no
female,0,no,no,47,yes,dsl,yes,yes,no,two year,mailed check,65.0,2879.9,no
female,0,no,no,2,yes,fiber optic,yes,no,no,month-to-month,electronic check,80.45,137.1,no
male,0,no,no,10,yes,fiber optic,yes,no,yes,month-to-month,electronic check,98.55,1008.55,yes
female,0,yes,yes,61,yes,no,no internet service,no internet service,no internet service,two year,mailed check,24.1,1551.6,no
female,0,no,no,5,yes,dsl,no,no,no,month-to-month,credit card (automatic),44.05,202.15,no
female,1,yes,no,72,yes,fiber optic,no,yes,yes,two year,credit card (automatic),110.8,7882.25,no
male,1,yes,yes,72,yes,fiber optic,yes,yes,yes,two year,bank transfer (automatic),114.95,8196.4,no
female,1,no,no,3,yes,fiber optic,no,no,no,month-to-month,mailed check,75.05,202.9,no
male,0,yes,no,48,yes,no,no internet service,no internet service,no internet service,two year,mailed check,19.25,855.1,no
female,0,no,no,63,yes,fiber optic,no,yes,yes,one year,credit card (automatic),90.05,5817.0,no
female,0,no,no,27,yes,dsl,yes,no,no,month-to-month,mailed check,56.7,1652.95,no
male,0,yes,yes,70,yes,dsl,yes,no,yes,two year,credit card (automatic),80.15,5600.15,no
male,0,yes,yes,7,yes,dsl,yes,yes,no,month-to-month,credit card (automatic),71.35,515.75,no
male,0,no,yes,0,yes,no,no internet service,no internet service,no internet service,two year,mailed check,20.25,40.5,no
female,0,yes,no,2,yes,fiber optic,yes,no,yes,month-to-month,electronic check,90.35,190.5,no
male,1,no,no,20,yes,fiber optic,no,no,yes,month-to-month,electronic check,98.55,1842.8,yes
male,0,no,no,66,yes,no,no internet service,no internet service,no internet service,two year,bank transfer (automatic),19.7,1253.8,no
female,0,no,no,3,yes,no,no internet service,no internet service,no internet service,month-to-month,mailed check,19.85,57.2,no
female,0,no,yes,15,yes,fiber optic,no,no,no,month-to-month,bank transfer (automatic),85.9,1269.55,yes
female,0,yes,yes,72,yes,fiber optic,yes,yes,no,two year,bank transfer (automatic),90.35,6563.4,no
male,0,no,no,1,yes,no,no internet service,no internet service,no internet service,month-to-month,mailed check,20.8,20.8,no
female,0,no,no,22,yes,fiber optic,no,no,yes,month-to-month,electronic check,89.25,1907.85,yes
male,0,yes,no,3,yes,fiber optic,no,no,no,month-to-month,electronic check,70.3,208.85,yes
female,0,yes,yes,72,yes,dsl,yes,yes,no,two year,bank transfer (automatic),66.85,4758.8,no
male,0,yes,yes,65,yes,no,no internet service,no internet service,no internet service,two year,mailed check,19.9,1292.6,no
female,0,no,no,11,yes,dsl,no,no,yes,month-to-month,mailed check,35.8,363.15,no
male,0,no,no,22,yes,fiber optic,no,no,no,month-to-month,mailed check,78.85,1600.25,no
male,0,no,no,14,yes,no,no internet service,no internet service,no internet service,one year,bank transfer (automatic),20.4,275.7,no
male,0,no,no,41,yes,fiber optic,no,yes,no,month-to-month,electronic check,74.25,3089.1,no
male,0,yes,no,17,yes,dsl,yes,no,no,one year,mailed check,64.8,1175.6,no
male,0,no,no,11,yes,no,no internet service,no internet service,no internet service,month-to-month,credit card (automatic),20.45,237.3,no
male,0,no,no,15,yes,fiber optic,no,no,yes,month-to-month,electronic check,93.35,1444.65,yes
female,0,no,no,1,yes,no,no internet service,no internet service,no internet service,month-to-month,mailed check,19.9,19.9,yes
female,0,yes,no,5,yes,fiber optic,yes,no,no,month-to-month,mailed check,88.9,454.15,yes
male,0,yes,no,33,yes,fiber optic,no,no,yes,one year,electronic check,95.8,3036.75,yes
female,0,yes,no,72,yes,fiber optic,yes,no,yes,two year,credit card (automatic),110.65,8065.65,no
female,0,yes,yes,3,yes,dsl,no,no,no,month-to-month,mailed check,40.3,92.5,no
male,0,no,no,2,yes,fiber optic,no,no,no,month-to-month,electronic check,82.0,184.65,yes
female,0,yes,no,59,yes,fiber optic,yes,yes,no,one year,credit card (automatic),107.0,6152.3,no
male,0,no,no,2,yes,dsl,no,no,no,month-to-month,electronic check,45.35,89.5,yes
male,0,yes,yes,71,yes,dsl,no,yes,yes,two year,credit card (automatic),73.35,5154.5,no
female,0,yes,yes,5,yes,dsl,no,no,no,month-to-month,mailed check,44.8,220.45,no
male,0,yes,yes,27,yes,dsl,yes,no,no,month-to-month,credit card (automatic),54.75,1510.3,no
female,0,no,no,1,yes,dsl,no,yes,no,month-to-month,electronic check,52.2,52.2,yes
male,0,no,yes,63,yes,dsl,yes,yes,no,one year,bank transfer (automatic),40.6,2588.95,no
female,1,no,no,46,yes,fiber optic,yes,no,yes,one year,electronic check,110.0,4874.8,yes
male,0,yes,yes,72,yes,dsl,yes,no,no,two year,bank transfer (automatic),55.3,3983.6,no
female,0,yes,no,34,yes,dsl,yes,yes,no,month-to-month,bank transfer (automatic),60.85,2003.6,no
female,0,yes,yes,24,yes,dsl,yes,no,yes,one year,electronic check,78.4,1832.4,no
male,0,no,no,72,yes,dsl,yes,yes,no,two year,bank transfer (automatic),69.65,4908.25,no
female,0,yes,yes,60,yes,dsl,yes,yes,yes,two year,credit card (automatic),59.85,3590.2,no
male,0,no,no,68,yes,dsl,yes,no,no,one year,credit card (automatic),76.9,5023.0,no
female,0,yes,yes,8,yes,no,no internet service,no internet service,no internet service,two year,mailed check,19.85,146.6,no
female,0,no,yes,34,yes,dsl,yes,yes,yes,two year,credit card (automatic),67.65,2339.3,no
female,0,no,no,6,yes,dsl,no,no,yes,month-to-month,credit card (automatic),45.0,298.7,no
male,0,yes,no,2,yes,dsl,no,yes,no,month-to-month,mailed check,64.2,143.65,no
male,0,no,no,31,yes,fiber optic,no,yes,no,one year,credit card (automatic),81.7,2548.65,no
female,0,yes,yes,20,yes,no,no internet service,no internet service,no internet service,month-to-month,bank transfer (automatic),25.55,507.4,no
female,0,yes,yes,1,yes,no,no internet service,no internet service,no internet service,month-to-month,electronic check,20.0,20.0,no
male,0,no,no,62,yes,fiber optic,no,no,yes,one year,electronic check,96.75,6125.4,yes
female,1,yes,no,70,yes,fiber optic,no,no,no,two year,credit card (automatic),75.65,5411.4,no
female,0,no,no,10,yes,fiber optic,no,yes,yes,month-to-month,electronic check,98.5,1058.25,yes
male,0,yes,yes,39,yes,no,no internet service,no internet service,no internet service,two year,mailed check,23.8,903.8,no
female,0,yes,no,46,yes,dsl,no,yes,yes,two year,credit card (automatic),64.2,3009.5,no
male,0,no,no,6,yes,fiber optic,no,no,yes,month-to-month,electronic check,85.35,489.45,yes
female,0,yes,yes,72,yes,dsl,no,no,yes,two year,bank transfer (automatic),76.8,5468.45,no
male,0,no,no,18,yes,dsl,no,yes,no,month-to-month,credit card (automatic),55.2,1058.1,no
male,0,yes,no,71,yes,fiber optic,yes,yes,yes,two year,credit card (automatic),108.55,7616.0,no
male,0,yes,no,40,yes,fiber optic,no,no,yes,month-to-month,electronic check,101.3,4113.1,yes
male,0,no,no,1,yes,fiber optic,no,no,no,month-to-month,electronic check,69.55,69.55,yes
male,0,no,no,58,yes,fiber optic,no,no,yes,one year,bank transfer (automatic),103.25,6017.65,yes
male,0,no,no,70,yes,fiber optic,yes,yes,yes,two year,credit card (automatic),104.0,7250.15,yes
female,0,yes,no,42,yes,no,no internet service,no internet service,no internet service,two year,electronic check,25.25,1108.2,no
male,0,yes,yes,34,yes,dsl,yes,no,no,one year,bank transfer (automatic),30.4,938.65,no
male,1,no,no,5,yes,no,no internet service,no internet service,no internet service,month-to-month,bank transfer (automatic),20.05,94.15,no
female,0,no,no,25,yes,fiber optic,no,no,yes,month-to-month,mailed check,84.6,2088.05,no
female,0,no,no,2,yes,fiber optic,no,no,no,month-to-month,mailed check,86.2,178.7,yes
female,0,yes,yes,55,yes,fiber optic,no,yes,yes,one year,bank transfer (automatic),103.7,5656.75,no
male,0,yes,no,21,yes,fiber optic,no,yes,yes,month-to-month,electronic check,111.2,2317.1,yes
male,0,yes,no,70,yes,fiber optic,yes,yes,no,two year,credit card (automatic),88.0,5986.45,no
female,0,yes,no,61,yes,fiber optic,no,yes,yes,month-to-month,electronic check,106.35,6751.35,no
male,0,yes,yes,43,yes,dsl,yes,yes,yes,two year,credit card (automatic),79.15,3566.6,no
male,0,no,no,47,yes,fiber optic,no,no,yes,one year,electronic check,103.1,4889.3,no
male,0,no,no,5,yes,dsl,no,yes,yes,month-to-month,credit card (automatic),63.95,318.1,no
female,0,no,no,62,yes,no,no internet service,no internet service,no internet service,two year,credit card (automatic),25.8,1563.95,no
female,0,yes,yes,16,yes,fiber optic,no,no,yes,month-to-month,credit card (automatic),89.45,1430.25,yes
male,1,yes,no,7,yes,fiber optic,no,no,yes,month-to-month,bank transfer (automatic),95.6,644.35,yes
female,0,yes,yes,14,yes,no,no internet service,no internet service,no internet service,month-to-month,mailed check,25.55,372.45,no
male,0,yes,yes,60,yes,fiber optic,no,no,yes,one year,electronic check,90.95,5453.4,yes
male,0,yes,yes,34,yes,dsl,no,yes,yes,month-to-month,electronic check,44.85,1442.6,no
female,0,yes,no,50,yes,fiber optic,yes,yes,yes,one year,electronic check,108.55,5610.7,yes
male,0,yes,yes,38,yes,no,no internet service,no internet service,no internet service,two year,credit card (automatic),25.05,963.95,no
female,0,yes,yes,70,yes,dsl,yes,yes,no,one year,credit card (automatic),74.1,5222.3,no
female,0,yes,yes,37,yes,fiber optic,no,no,yes,month-to-month,electronic check,88.8,3340.55,no
female,1,no,no,4,yes,fiber optic,no,no,yes,month-to-month,electronic check,78.85,292.8,yes
male,1,yes,yes,60,yes,fiber optic,yes,no,no,month-to-month,electronic check,93.25,5774.55,no
